idx,band,song,id,spread_oct,peak_ratio,fold_med,dur,flagged,segs
1,afterglow,That Is How I Roll!,afterglow__001,6.59,1.571,117.5,239.6,1,117|117|92|117|92|92
581,roselia,LOUDER,roselia__581,6.59,1.538,99.4,216.2,1,99|99|99|99|99|108
651,roselia,革命デュアリズム (Cover),roselia__651,6.56,1.462,103.4,237.4,1,99|108|103|103|103|108
615,roselia,Requiem for Fate,roselia__615,6.50,1.471,152.0,238.4,1,152|152|152|152|152|129
228,morfonica,Nameless Story (Cover),morfonica__228,6.47,1.538,99.4,243.0,1,99|99|99|99|99|129
69,afterglow,Part of the Life,afterglow__069,6.42,2.000,92.3,88.7,1,92|92|92|92|92|92
449,poppin_party,チョコレイトの低音レシピ,poppin_party__449,6.39,2.077,95.7,271.0,1,99|96|99|96|99|99
497,raise_a_suilen,DRIVE US CRAZY,raise_a_suilen__497,6.28,1.500,107.7,245.7,1,108|108|108|108|108|108
72,ave_mujica,KiLLKiSS,ave_mujica__072,6.27,2.000,99.4,208.8,1,133|99|99|99|99|99
180,morfonica,Daylight -デイライト-,morfonica__180,6.25,1.500,92.3,357.3,1,123|92|92|92|92|123
267,mygo,春日影 (MyGO!!!!! ver.),mygo__267,6.22,1.077,99.4,256.6,1,99|99|99|99|99|99
638,roselia,悪魔の子 (Cover),roselia__638,6.17,1.071,92.3,227.2,1,92|172|92|92|92|144
504,raise_a_suilen,Ray of hope,raise_a_suilen__504,6.08,2.000,129.2,190.8,1,129|129|129|129|129|129
28,afterglow,トーキョーワンダー。,afterglow__028,6.06,1.056,136.0,153.8,1,136|136|136|136|136|136
626,roselia,Ringing Bloom,roselia__626,6.02,1.538,99.4,334.9,1,129|99|99|99|99|99
639,roselia,slash (Cover),roselia__639,5.99,2.000,107.7,241.1,1,112|108|108|108|108|108
227,morfonica,ALIVE (Cover),morfonica__227,5.96,1.071,117.5,216.0,1,172|92|172|92|117|92
116,hello_happy_world,にこにこねくと！,hello_happy_world__116,5.94,1.533,112.3,250.6,1,112|112|112|112|112|112
294,mygo,雑踏、僕らの街 (Cover),mygo__294,5.94,2.000,172.3,188.2,1,172|172|172|172|172|172
526,raise_a_suilen,That Is How I Roll! (ライブ / アンコール),raise_a_suilen__526,5.79,1.071,92.3,283.0,1,117|92|92|92|92|92
205,morfonica,フレージング ミラージュ,morfonica__205,5.77,1.929,95.7,263.6,1,108|96|96|96|92|117
429,poppin_party,星の約束,poppin_party__429,5.72,1.467,172.3,245.1,1,172|172|172|172|172|117
70,afterglow,Punchline Halloween!!!,afterglow__070,5.61,2.071,107.7,234.2,1,92|92|123|120|123|108
198,morfonica,Steer to Utopia,morfonica__198,5.58,1.538,99.4,216.3,1,99|99|99|99|99|99
317,pastel_palettes,ぎゅっDAYS♪,pastel_palettes__317,5.33,2.000,172.3,251.6,1,172|172|172|172|172|172
82,ave_mujica,神さま、バカ,ave_mujica__082,5.30,2.071,117.5,224.0,1,117|117|92|112|117|117
433,poppin_party,花咲く未来に,poppin_party__433,5.27,1.321,139.7,276.1,1,144|136|140|140|140|117
455,poppin_party,す、好きなんかじゃない！,poppin_party__455,5.26,1.938,161.5,236.9,1,161|167|161|167|161|161
22,afterglow,サクラゼンセン,afterglow__022,5.23,1.321,139.7,249.3,1,140|140|140|140|140|140
319,pastel_palettes,るんっ♪てぃてぃー！,pastel_palettes__319,5.12,2.000,161.5,229.3,1,161|161|161|161|161|161
